1505;8;17;24;37;39;42;2;7;14;15;18;35
1504;7;21;30;37;44;45;2;9;28;37;38;40
1503;7;12;17;24;31;39;10;15;20;21;43;45
1502;6;9;10;23;24;41;4;13;14;20;26;32
1501;3;13;27;40;43;44;2;3;25;35;38;41
1500;22;33;34;42;44;45;5;11;15;32;42;45
1499;2;3;11;31;33;39;3;5;8;10;17;36
1498;7;16;19;24;34;41;18;20;25;26;29;37
1497;7;19;25;28;29;43;8;18;22;35;41;42
1496;1;3;7;10;14;31;18;25;27;28;40;45
1495;20;22;23;29;32;45;14;26;27;31;40;42
1494;6;10;31;38;43;45;12;20;25;33;38;42
1493;9;15;19;25;36;44;3;7;26;34;35;40
1492;7;11;13;26;30;43;8;11;23;27;31;42
1491;5;10;11;12;13;30;3;9;20;23;26;31
1490;6;19;20;21;26;29;2;7;22;31;32;41
1489;1;3;7;25;28;40;16;17;26;29;42;45
1488;1;15;26;28;42;45;2;19;33;36;43;44
1487;9;18;24;25;34;41;4;14;29;39;41;45
1486;1;4;20;25;36;43;5;6;13;14;32;34
1485;2;6;18;23;31;35;13;25;29;30;40;44
1484;1;8;21;30;34;40;4;9;18;25;28;36
1483;5;15;30;31;35;37;3;21;27;34;38;42
1482;14;20;24;28;30;35;13;17;18;19;28;29
1481;15;19;22;29;37;45;4;7;23;34;37;44
1480;9;12;16;22;29;37;4;11;12;19;38;41
1479;7;15;17;19;24;26;10;20;27;35;36;45
1478;14;21;36;39;43;45;3;11;16;19;25;35
1477;4;11;14;24;32;36;1;12;15;17;30;34
1476;5;6;11;19;24;26;9;10;12;23;29;41
1475;5;11;18;31;42;43;2;4;8;12;33;37
1474;6;16;19;23;29;43;2;4;14;34;41;42
1473;12;18;19;31;42;44;8;23;35;38;39;45
1472;1;2;6;15;29;38;8;15;16;27;31;33
1471;2;5;6;27;33;40;7;15;16;17;18;35
1470;2;7;16;17;29;41;3;5;6;20;26;36
1469;1;12;20;22;24;43;2;4;17;20;22;26
1468;5;8;11;20;23;43;4;5;6;28;37;38
1467;13;14;15;24;28;33;8;13;16;18;19;30
1466;4;8;19;32;34;38;5;7;8;18;29;38
1465;16;25;27;28;30;45;16;17;18;24;29;41
1464;1;17;21;33;37;38;5;16;18;29;38;40
